          ID   lat_alloc   lon_alloc  area_alloc     lat_ori     lon_ori loc_km_diff      ix      ix
         341      42.776     141.399       1.235      42.775     141.400       0.096   15408    5202
         342      42.808     141.569       2.045      42.808     141.569       0.045   15530    5179
         343      42.819     141.633     295.792      42.818     141.632       0.099   15576    5171
         344      42.847     141.670     367.823      42.846     141.670       0.059   15603    5151
         345      42.944     141.651     661.019      42.943     141.651       0.087   15589    5081
         346      42.983     141.623     943.021      42.983     141.622       0.086   15569    5053
         347      43.020     141.577    1130.622      43.020     141.577       0.016   15536    5026
         348      43.105     141.569    1240.773      43.105     141.569       0.025   15530    4965
         349      42.984     142.012     550.278      42.984     142.012       0.016   15849    5052
         350      42.933     142.035     667.426      42.932     142.035       0.078   15866    5089
         351      42.947     141.874     791.166      42.946     141.875       0.082   15750    5079
         352      43.027     141.777    1006.872      43.027     141.777       0.012   15680    5021
         353      43.090     141.688    1108.222      43.089     141.688       0.067   15616    4976
         354      43.215     142.056      57.237      43.215     142.056       0.051   15881    4886
         355      43.256     141.917     226.596      43.256     141.917       0.039   15781    4856
         356      43.240     141.866     267.129      43.240     141.866       0.046   15744    4868
         357      43.206     141.726     318.622      43.207     141.726       0.087   15643    4892
         358      43.324     141.762       4.205      43.325     141.762       0.078   15669    4807
         359      43.288     141.715     115.914      43.288     141.714       0.051   15635    4833
         360      43.251     141.676     161.584      43.251     141.676       0.041   15607    4860
         361      43.342     141.820      88.305      43.342     141.820       0.042   15711    4794
         362      43.319     141.872      85.590      43.319     141.872       0.047   15748    4811
         363      43.426     141.863      41.516      43.425     141.863       0.079   15742    4734
         364      43.472     141.905      12.901      43.471     141.905       0.060   15772    4701
         365      43.494     141.903      40.607      43.493     141.903       0.092   15771    4685
         366      43.488     141.913      38.933      43.488     141.913       0.026   15778    4689
         367      43.480     141.976      33.859      43.480     141.976       0.029   15823    4695
         368      43.494     141.901       2.222      43.494     141.901       0.037   15769    4685
         369      43.522     142.034      17.543      43.521     142.034       0.059   15865    4665
         370      43.503     141.926      47.200      43.504     141.926       0.064   15787    4678
         371      43.366     142.359    1563.093      43.366     142.359       0.004   16099    4777
         372      43.560     142.044    2548.811      43.560     142.044       0.051   15872    4637
         373      43.547     141.910    2634.728      43.548     141.911       0.170   15776    4647
         374      43.576     141.831     237.513      43.576     141.829       0.185   15719    4626
         375      43.609     141.934       8.976      43.609     141.935       0.078   15793    4602
         376      43.648     141.860       1.044      43.648     141.860       0.033   15740    4574
         377      44.217     142.151     430.540      44.217     142.150       0.069   15949    4164
