ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,loc_km_diff,ix,iy,Station Name,River Name
217,43.892,142.522,1299.432,43.893,142.522,1325,0.112,16216,4398,比布,石狩川
218,43.816,142.419,1608.314,43.816,142.419,1423,0,16142,4453,永山,石狩川
219,43.778,142.358,1892.149,43.778,142.358,1917,0,16098,4480,旭橋,石狩川
220,43.765,142.277,3317.492,43.764,142.276,3379,0.137,16040,4490,伊納,石狩川
221,43.645,143.066,45.113,43.646,143.066,45,0.11,16608,4576,ルベシナイ,ルベシナイ川
222,43.862,142.842,208.91,43.863,142.843,208,0.137,16447,4420,ルベシベ,留辺志部川
223,43.805,142.483,193.982,43.802,142.476,159.6,0.655,16188,4461,桜岡（廃止）,牛朱別川
224,43.788,142.442,200.23,43.788,142.443,430,0.08,16159,4473,旭永橋,牛朱別川
225,43.774,142.373,269.329,43.775,142.373,475,0.111,16109,4483,中央橋,牛朱別川
226,43.649,142.585,244.631,43.649,142.586,249,0.079,16262,4573,江卸,忠別川
227,43.694,142.501,259.94,43.693,142.501,278,0.111,16201,4541,暁橋,忠別川
228,43.703,142.469,260.859,43.703,142.469,263.4,0,16178,4534,暁橋(旧)（廃止）,忠別川
229,43.748,142.376,336.644,43.748,142.376,358,0,16111,4502,大正橋,忠別川
230,43.585,142.456,135.998,43.586,142.456,149,0.111,16169,4619,西一区,美瑛川
231,43.644,142.397,411.313,43.643,142.396,424,0.137,16126,4577,辺別太,美瑛川
232,43.68,142.377,641.032,43.68,142.378,645,0.081,16112,4551,西神楽,美瑛川
233,43.665,142.403,196.026,43.665,142.403,189,0,16131,4562,18号,辺別川
234,43.824,142.328,173.406,43.824,142.329,181,0.08,16077,4447,鷹栖橋,オサラッペ川
235,43.297,142.395,976.961,43.297,142.395,950,0,16125,4827,布部,空知川
236,43.809,142.466,212.446,43.809,142.466,161,0,16176,4458,北永,永山新川
237,43.62,142.753,126.063,43.62,142.754,124,0.08,16383,4594,忠別川上流,忠別川
238,43.631,142.69,58.289,43.631,142.689,60,0.081,16337,4586,ピウケナイ,忠別川
239,43.805,142.487,193.417,43.805,142.487,201,0,16191,4461,鹿島橋,牛朱別川
240,26.713,128.165,9.098,26.714,128.164,-9999,0.148,5879,16767,田嘉里（廃止）,田嘉里川
241,42.79,140.934,241.009,42.789,140.934,230.8,0.111,15073,5192,喜茂別下流（廃止）,尻別川
242,42.885,140.752,656.135,42.885,140.753,717.3,0.081,14942,5123,倶知安（廃止）,尻別川
243,42.801,140.599,1280.543,42.801,140.599,1313.7,0,14832,5184,昆布,尻別川
244,42.816,140.528,1325.002,42.815,140.529,1367.5,0.138,14781,5173,蘭越,尻別川
245,42.812,140.453,1386.523,42.811,140.453,1402.2,0.111,14727,5176,名駒,尻別川
246,42.877,140.366,1634.08,42.877,140.365,1636.3,0.08,14664,5129,河口,尻別川
247,26.659,128.133,20.176,26.67,128.141,23.6,1.457,5856,16806,大保(廃止）,大保川
248,26.658,128.128,22.206,26.658,128.128,-9999,0,5853,16807,大保大橋,大保川
249,26.656,128.138,15.079,26.656,128.138,-9999,0,5860,16808,大工又橋,大保川
250,42.508,140.191,48.835,42.507,140.191,48,0.111,14538,5395,上利別,後志利別川
251,42.428,140.153,142.365,42.428,140.154,141.5,0.082,14511,5452,花石,後志利別川
252,42.41,140.105,206.705,42.411,140.105,206.2,0.111,14476,5465,住吉,後志利別川
253,42.422,140.009,355.993,42.421,140.009,361.4,0.111,14407,5457,今金,後志利別川
254,42.416,139.922,613.921,42.417,139.921,612.3,0.138,14344,5461,大富,後志利別川
255,42.424,139.848,720.488,42.425,139.848,720,0.111,14291,5455,河口,後志利別川
256,42.499,140.231,17.679,42.499,140.231,17.7,0,14567,5401,美利河別,ピリカベツ川
257,42.492,140.16,16.138,42.493,140.16,17.2,0.111,14516,5406,忠志別,チュウシベツ川
258,26.617,128.059,14.145,26.614,128.059,14.7,0.333,5803,16836,源河（廃止）,源河川
259,42.89,142.255,605.915,42.89,142.255,616.1,0,16024,5120,福山,鵡川
260,42.759,142.137,944.115,42.759,142.136,949.5,0.081,15939,5214,穂別,鵡川
261,42.658,142.072,1051.805,42.658,142.071,1069.2,0.082,15892,5287,栄,鵡川
262,42.573,141.937,1224.911,42.573,141.937,1228,0,15795,5348,鵡川,鵡川
263,42.851,142.173,124.485,42.851,142.172,122.7,0.082,15965,5148,稲里,穂別川
264,26.616,128.019,11.366,26.616,128.019,12,0,5774,16837,稲搗橋,羽地大川
265,42.71,142.245,767.352,42.711,142.246,765.2,0.139,16017,5249,幌毛志橋,沙流川
266,42.584,142.141,1256.341,42.583,142.141,1253,0.111,15942,5340,平取,沙流川
267,42.515,142.031,1325.513,42.517,142.031,1323,0.222,15863,5390,富川,沙流川
268,42.681,142.387,236.075,42.681,142.386,234.3,0.081,16119,5270,平取ダムサイト,額平川
269,42.667,142.247,364.242,42.668,142.246,365.8,0.138,16018,5280,貫気別,額平川
270,43.323,142.942,538.196,43.323,142.943,534.1,0.08,16519,4808,ニペソツ,十勝川
271,43.067,142.928,807.235,43.068,142.926,803.8,0.197,16509,4992,共栄橋,十勝川
272,43.013,142.935,856.128,43.013,142.938,845.8,0.245,16514,5031,熊牛,十勝川
273,42.928,143.047,1528.319,42.931,143.047,1546.4,0.333,16594,5092,芽室太,十勝川
274,42.937,143.203,2674.479,42.934,143.203,2677.8,0.333,16707,5086,帯広,十勝川
275,42.93,143.295,4470.246,42.927,143.291,4482.8,0.467,16773,5091,十勝中央大橋,十勝川
276,42.923,143.385,5084.656,42.92,143.384,5081.5,0.343,16838,5096,千代田,十勝川
277,42.808,143.512,8163.789,42.808,143.512,8208,0,16929,5179,茂岩,十勝川
278,42.692,143.648,8361.323,42.69,143.648,8379.5,0.222,17027,5262,大津,十勝川
279,43.412,142.862,160.725,43.418,142.866,162.8,0.741,16461,4744,シイ十勝,十勝川
280,43.412,142.878,211.122,43.412,142.878,207.5,0,16473,4744,トムラウシ,トムラウシ川
281,42.92,143.03,208.326,42.92,143.032,218,0.163,16582,5098,芽室橋（廃止）,芽室川
282,42.802,142.958,146.743,42.802,142.957,150,0.08,16530,5183,上美生橋（廃止）,美生川
283,42.923,143.067,191.177,42.923,143.066,194.8,0.082,16609,5096,美生橋,美生川
284,43.055,143.085,333.58,43.055,143.086,280.8,0.08,16622,5001,上然別橋（廃止）,然別川
285,42.951,143.148,653.873,42.951,143.147,646.4,0.081,16667,5076,国見橋,然別川
286,43.19,143.224,535.907,43.186,143.225,540,0.451,16722,4904,士幌,音更川
287,43.008,143.201,704.999,43.008,143.2,707.9,0.081,16705,5035,音更,音更川
288,42.933,143.209,36.899,42.933,143.209,181,0,16711,5089,東3条,帯広川
289,42.61,142.87,83.164,42.611,142.87,83.1,0.111,16467,5321,竜潭上流,札内川
290,42.58,142.931,3.794,42.58,142.935,-9999,0.329,16511,5343,札内ダム直下,札内川
291,42.605,142.987,151.005,42.603,142.987,150.1,0.222,16551,5325,南札内,札内川
292,42.642,143.09,182.958,42.642,143.092,188.9,0.165,16625,5298,上札内,札内川
293,42.798,143.155,536.718,42.798,143.157,580,0.164,16672,5186,第二大川橋,札内川
294,42.84,143.185,627.399,42.84,143.188,608.1,0.246,16694,5156,南帯橋,札内川
295,42.926,143.23,692.777,42.926,143.229,698.9,0.081,16726,5094,札内,札内川
296,42.699,143.058,152.203,42.699,143.058,160.6,0,16602,5257,戸蔦橋,戸蔦別川
297,42.734,143.109,292.162,42.733,143.109,294.7,0.11,16639,5232,中島橋,戸蔦別川
298,42.692,143.063,103.911,42.692,143.063,76.6,0,16606,5262,岩内（廃止）,岩内川
299,42.947,143.269,294.922,42.947,143.27,282,0.082,16754,5079,旭橋,士幌川
300,42.913,143.283,128.395,42.913,143.282,115,0.081,16764,5103,千住12号橋,途別川
301,42.91,143.356,443.74,42.91,143.356,447.4,0,16817,5105,止若,猿別川
302,43.359,143.608,723.437,43.359,143.607,725.7,0.081,16998,4782,上利別（廃止）,利別川
303,43.094,143.512,2302.296,43.094,143.516,2365.3,0.326,16929,4973,東橋,利別川
