ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,area_diff,area_error,loc_km_diff,alloc_score,ix,ix,lat_mod,lon_mod,area_mod,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1159900,-27.171,29.238,4146.686,-27.169,29.233,4152,-5.394,-0.001,1.113,0.224,12555,7031,-27.169,29.233,4152,,Delangesdrift,KLIPRIVIER,ZA,2020/1/31,2019/2/12,1159800,-999
1159910,-26.863,28.888,2231.471,-26.861,28.884,2239,-7.38,-0.003,0.862,0.175,12534,7012,-26.861,28.884,2239,,Elandslaagte (27817908),WATERVALRIVIER,ZA,2020/1/31,2019/2/12,1159800,1520
1160100,-34.079,19.288,497.839,-34.077,19.29,502,-3.749,-0.007,0.288,0.063,11958,7445,-34.077,19.29,502,,Dwarshoek (27694403),RIVIERSONDEREND,ZA,2020/1/31,2018/5/22,-999,307
1160101,-34.063,19.071,39.152,-34.062,19.072,39,2.197,0.056,0.523,0.224,11945,7444,-34.062,19.072,39,,Swarte Water (27694408),RIVIERSONDEREND,ZA,2020/1/31,2018/5/22,1160100,380
1160115,-34.404,19.596,600.026,-34.405,19.596,599,4.221,0.007,0.496,0.106,11976,7465,-34.405,19.596,599,,Hagedisberg Outspan (27711206),KLEINRIVIER,ZA,2020/1/31,2019/2/12,-999,55
1160120,-34.288,20.021,378.901,-34.292,20.023,381,76.049,0.2,0.184,0.236,12002,7458,-34.292,20.023,381,,Kykoedy (27711108),SOUTRIVIER,ZA,2020/1/31,2019/2/12,-999,140
1160200,-30.821,18.121,2341.466,-30.824,18.118,2351,-7.029,-0.003,0.679,0.138,11888,7250,-30.824,18.118,2351,,Bruintjieshoogte (27713201),SWART-DORINGRIVIER,ZA,2020/1/31,2019/2/12,-999,175
1160210,-33.988,18.954,22.339,-33.986,18.956,20,4.898,0.245,0.691,0.554,11938,7440,-33.986,18.956,20,,Jonkershoek (27711308),JONKERSHOEKRIVIER,ZA,2020/1/31,2018/5/22,-999,299
1160220,-32.779,19.279,284.752,-32.78,19.283,267,17.758,0.067,0.933,0.253,11957,7367,-32.78,19.283,267,,Leeuw (27712207),LEEURIVIER,ZA,2020/1/31,2019/2/12,1160320,837
1160230,-32.213,18.938,179.064,-32.212,18.937,163,20.322,0.125,0.647,0.254,11937,7333,-32.212,18.937,163,,Clanwilliam (27712306),JAN DISSELSRIVIER,ZA,2020/1/31,2019/2/12,-999,116
1160235,-31.863,18.688,23959.719,-31.862,18.686,24044,-84.254,-0.004,0.721,0.147,11922,7312,-31.862,18.686,24044,,Melkboom,DORINGRIVIER,ZA,2020/1/31,2019/2/12,-999,-999
1160240,-33.188,19.154,20.041,-33.185,19.155,19,1.049,0.055,1.144,0.58,11950,7391,-33.185,19.155,19,,Mountain View (27711421),KLEIN-BERGRIVIER,ZA,2020/1/31,2019/2/12,1160265,345
1160245,-33.138,19.063,186.22,-33.134,19.061,183,4.699,0.026,0.93,0.212,11944,7389,-33.134,19.061,183,,Dri-Das-Bosch (27711428),VIER-EN-TWINTIG-RIVIERE,ZA,2020/1/31,2019/2/12,-999,130
1160250,-33.463,18.738,246.441,-33.464,18.74,246,0.358,0.001,0.691,0.14,11925,7408,-33.464,18.74,246,,Malmesbury (27711312),DIEPRIVIER,ZA,2020/1/31,2019/2/12,-999,117
1160255,-33.704,18.696,469.47,-33.705,18.7,473,-2.688,-0.006,0.812,0.167,11922,7423,-33.705,18.7,473,,Klippheuwel (27711313),MOSSELBANKRIVIER,ZA,2020/1/31,2018/5/22,-999,59
1160257,-33.579,18.363,27.514,-33.582,18.362,23,4.513,0.196,0.861,0.555,11902,7415,-33.582,18.362,23,,Buffels River (27711318),SILWERSTROOMRIVIER,ZA,2020/1/31,2018/5/22,-999,14
1160260,-33.796,18.971,504.689,-33.809,18.984,726,-219.105,-0.302,2.062,0.737,11939,7428,-33.809,18.984,726,,Farm 187 (27711407),BERGRIVIER,ZA,2020/1/31,2018/5/22,-999,140
