        ID       lat       lon   area_CaMa  area_Input       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      6546    34.862   137.329      -999.0         0.7      -999.0      -999.0    -999    -999         0.8  1968                         Komanba                        Toyokawa
      6548    34.804   136.379      -999.0        27.9      -999.0      -999.0    -999    -999        10.5  1990                             Ano                         Anogawa
      6557     0.000     0.000      -999.0         0.0      -999.0      -999.0    -999    -999         1.7  1966                     Hattachiike                        Toyokawa
      6558    34.587   136.429      -999.0         3.2      -999.0      -999.0    -999    -999         1.3  1973                        Nameriko                    Nakamuragawa
      6561    34.504   135.454      -999.0         3.1      -999.0      -999.0    -999    -999         1.2  1940                          Onoike                       Makiogawa
      6563    34.462   135.479      -999.0         1.1      -999.0      -999.0    -999    -999         3.7  1936                        Komyoike                       Makiogawa
      6568    34.329   135.313      -999.0         6.1      -999.0      -999.0    -999    -999         2.8  1969                          Horigo                      Horigogawa
      6581   -18.954   146.146      -999.0         8.8      -999.0      -999.0    -999    -999        12.3  1959                          Paluma                      SwampCreek
      6614   -35.079   138.563      -999.0        19.4      -999.0      -999.0    -999    -999        14.4  1896                     HappyValley                     Onkaparinga
      6677   -41.096   146.954      -999.0        16.9      -999.0      -999.0    -999    -999        12.0  1979                         Curries                         Curries
      6696   -42.554   147.404      -999.0       285.1      -999.0      -999.0    -999    -999        12.5  1986                     Craigbourne                            Coal
      6711   -26.779   153.004      -999.0        21.1      -999.0      -999.0    -999    -999        16.7  1982                     EwenMaddock                 AddlingtonCreek
      6722   -27.529   153.179      -999.0        89.0      -999.0      -999.0    -999    -999        25.0  1984                  LeslieHarrison                   TingalpaCreek
      6754   -35.271   173.888      -999.0         4.6      -999.0      -999.0    -999    -999         5.9  1982                        Waingaro                   Naiwhakangoro
      6755   -35.704   174.288      -999.0         7.6      -999.0      -999.0    -999    -999         2.0  1969                      WhauValley                       Waiarohia
      6756   -36.904   174.529      -999.0         7.1      -999.0      -999.0    -999    -999         1.9  1928                       Waitakere                       Waitekere
      6757   -36.929   174.563      -999.0         1.3      -999.0      -999.0    -999    -999         0.3  1921            NihotupuAuxiliaryDam                        Nihotupu
      6758   -36.946   174.563      -999.0         9.4      -999.0      -999.0    -999    -999         2.4  1923                   UpperNihotupu                        Nihotupu
      6759   -36.963   174.613      -999.0        22.2      -999.0      -999.0    -999    -999         4.8  1948                   LowerNihotupu                        Nihotupu
      6760   -36.963   174.538      -999.0         8.4      -999.0      -999.0    -999    -999         2.4  1928                       UpperHuia                      HuiaStream
      6761   -36.988   174.571      -999.0        22.0      -999.0      -999.0    -999    -999         6.7  1971                       LowerHuia                      HuiaStream
      6784   -39.121   174.129      -999.0         8.2      -999.0      -999.0    -999    -999         1.4  1931                      Mangamahoe                      Mangamahoe
      6793   -41.288   174.754      -999.0         2.8      -999.0      -999.0    -999    -999         0.1  1872                     LowerKarori                   Kaiwharawhara
      6794   -41.304   174.738      -999.0         0.9      -999.0      -999.0    -999    -999         0.2  1908                     UpperKarori                   Kaiwharawhara
      6820    51.929     4.079      -999.0         4.2      -999.0      -999.0    -999    -999        47.0  1967                      BrielseGat                 OostvoornseMeer
      6823    51.621     3.971      -999.0        33.3      -999.0      -999.0    -999    -999      2780.0  1986             OosterScheldekering                   Oosterschelde
      6824    51.546     3.813      -999.0        87.2      -999.0      -999.0    -999    -999       107.0  1961                       Veersedam                      VeerseMeer
