        ID       lat       lon        area    Type     ix1   iy1     ix2   iy2  elv_outlet   elv_gauge    elv_upst  dst_outlet    dst_upst
       228    42.642   143.090       183.0       1    1206   202    1205   203      238.90      245.55      252.15        0.57        0.58
       229    42.798   143.155       536.7       1    1210   193    1209   193       99.08       99.08      102.89        0.00        0.68
       230    42.840   143.190        18.6       2    1212   190    1212   191       69.39       75.41       79.22        1.27        0.93
       231    42.926   143.230       692.8       1    1214   185    1214   186       27.67       30.33       34.51        1.25        1.85
       232    42.933   143.209        36.9       1    1213   185    1212   185       29.54       31.34       32.17        1.36        0.68
       233    42.890   143.120       111.9       1    1208   187    1207   189       63.09       69.83       86.81        1.50        9.83
       234    42.922   143.135       149.5       1    1208   185    1208   186       45.00       46.61       52.15        0.46        1.15
       235    42.805   143.066        77.8       1    1204   192    1203   193      130.83      139.19      149.15        1.38        2.32
       236    42.930   143.202        34.3       1    1212   185    1211   186       32.17       32.17       38.63        0.00        3.67
       237    43.185   143.224         1.6       3    1214   169    -999  -999      201.51      210.30     -999.00        0.57     -999.00
       238    43.008   143.201       705.0       1    1212   180    1212   179       70.37       70.37       75.60        0.00        1.85
       239    43.238   143.272       494.5       1    1217   166    1218   164      258.04      268.23      278.67        1.15        1.91
       240    42.951   143.148       653.9       1    1209   183    1209   182       38.11       40.65       45.97        0.46        3.24
       241    43.094   142.985         3.5       3    1200   175    -999  -999      176.86      196.20     -999.00        1.73     -999.00
       242    42.923   143.067       191.2       2    1205   185    1204   186       50.86       60.83       64.14        1.72        0.57
       243    42.913   143.062       188.5       1    1204   186    1203   187       64.14       65.56       76.93        0.46        2.14
       244    42.910   143.040        21.1       1    1203   186    1202   187       68.38       74.58       88.55        1.04        3.73
       245    42.915   143.027       202.8       1    1202   186    1201   186       68.17       69.31       75.57        0.46        1.15
       246    43.087   142.833       153.8       1    1191   175    1191   174      168.43      181.23      186.26        2.18        2.08
       247    43.412   142.878       211.1       1    1193   155    1194   154      452.00      452.00      494.63        0.00        5.09
       248    42.920   143.476       112.9       1    1229   185    1230   185       11.14       13.71       14.92        1.26        0.68
       249    42.931   143.497       108.9       1    1231   185    1231   184       19.39       19.69       23.79        0.34        1.97
       250    43.209   143.372        53.7       1    1223   168    1223   167      191.61      201.28      207.96        1.15        0.57
       251    43.122   143.616        61.5       1    1238   173    1239   173       51.59       58.27       62.25        1.02        0.93
       252    43.133   143.585       608.6       1    1235   172    1234   172       54.33       59.14       64.58        1.49        2.48
       253    43.242   143.563       538.0       1    1235   166    1235   165       84.23       84.23       88.61        0.00        4.95
       254    43.306   143.709       121.5       1    1244   162    1245   162      153.42      153.42      161.21        0.00        2.37
       255    43.467   143.751       127.0       1    1246   152    1246   151      199.66      201.26      210.01        0.57        1.15
       256    42.895   143.197        21.3       1    1212   187    1211   188       49.19       49.19       50.51        0.00        0.34
       257    42.699   143.058       152.2       1    1204   199    1203   198      173.30      188.28      194.60        1.60        1.15
       258    42.733   143.108       292.1       1    1207   197    1206   197      136.40      143.83      146.67        1.72        0.58
       259    42.928   143.141       149.9       1    1208   185    1208   186       45.00       45.00       52.15        0.00        2.30
       260    42.952   143.198         8.3       1    1212   183    1212   182       35.00       47.21       63.54        1.25        3.68
       261    43.008   142.872        32.3       1    1192   180    1191   181      168.82      184.76      233.99        0.68        3.81
       262    43.083   142.820        28.1       1    1189   175    1188   175      187.83      199.76      231.35        1.61        3.91
       263    42.922   143.188        17.1       1    1212   185    1211   186       32.17       36.73       38.63        1.49        0.57
       264    42.924   143.158         9.8       1    1210   185    1209   186       36.65       43.70       49.08        1.93        1.50
       265    43.008   144.701       108.9       1    1303   180    1302   180        1.43        2.94        3.92        1.02        0.34
       266    44.651   142.859       269.3       1    1192    81    1192    82        3.98        3.98        4.28        0.79        0.57
       267    44.473   143.116       294.4       1    1207    92    1206    93        4.67        4.67        7.10        0.33        0.57
       268    44.438   143.122         1.1       3    1207    94    -999  -999       15.02       15.82     -999.00        0.33     -999.00
       269    44.287   143.353       206.5       1    1222   104    1223   104       11.25       11.25       16.74        0.00        2.28
       270    44.006   143.760       247.5       1    1246   120    1246   121       27.90       32.27       32.97        1.24        0.33
