        ID       lat       lon   area_CaMa  area_GRanD       error        diff      ix      iy     cap_mcm  year  damname                         rivname
      6146    31.512   130.863        37.9        38.2        -0.0        -0.3     472     869        13.9  1968  Takakuma                        Kushiragawa                   
      6147    30.771   131.029         1.8         1.8         0.0         0.0     482     913         2.3  1984  Saikyo                          Matanobugawa                  
      6180    26.487   127.954         7.4         6.8         0.1         0.6     297    1172         8.2  1993  Kanna                           Kannafukujigawa               
      6181    26.471   127.929        14.5        13.9         0.0         0.6     296    1172         7.6  2001  Okukubi                         Okukubigawa                   
      6182    26.387   127.804         5.8         6.2        -0.1        -0.5     289    1177         7.1  1995  Kurashiki                       Yonabarugawa                  
      6185    24.429   124.221         5.5         4.7         0.2         0.8      74    1295        13.0  1992  Sokobaru                        Sokobarugawa                  
      6186    24.421   124.204         5.4         5.1         0.1         0.3      73    1295         2.3  1982  Maezato                         Miyaragawa                    
      6187    24.404   124.179         2.2         3.3        -0.3        -1.1      72    1296         4.0  1996  Nagura                          Naguragawa                    
      6202    44.637   142.829       267.4       265.3         0.0         2.1    1191      82         7.2  1953  Horonai                         Horonaigawa                   
      6203    44.404   141.854        23.1        21.4         0.1         1.7    1132      97         2.4  1971  Ariake                          Mochikubetsugawa              
      6204    44.346   141.929        15.4        15.9        -0.0        -0.5    1137     100         3.3  1966  Haboro                          Sankebetsugawa                
      6205    44.321   142.154       107.6       107.0         0.0         0.6    1150     101        21.6  1943  Uryudaini                       Utsunaigawa                   
      6206    44.304   141.946        27.4        26.7         0.0         0.7    1137     102         4.3  1978  Haborofutamata                  Detofutamatagawa              
      6207    44.304   142.188       202.9       205.2        -0.0        -2.3    1152     102       224.7  1943  Uryudaiichi                     Onnebetsugawa                 
      6208    44.237   142.504         8.4         7.9         0.1         0.6    1171     106         5.8  1986  Goryo                           Naganegawa                    
      6209    44.212   142.313        10.9         9.5         0.2         1.4    1159     108         0.9  1936  Nakanosawa                      Ipanomappugawa                
      6210    44.204   142.471        13.0        12.7         0.0         0.3    1169     108         2.8  1929  Butoku                          Tayoromagawa                  
      6211    44.112   142.713       331.8       331.0         0.0         0.8    1183     114       107.7  1970  Iwaonai                         Teshiogawa                    
      6212    44.096   142.429        29.9        28.1         0.1         1.7    1166     115         1.1  1966  Higashikenbuchi                 Rokusengawa                   
      6213    44.062   141.904       199.7       189.3         0.1        10.3    1134     117        33.2  1992  Obira                           Obirashibegawa                
      6214    43.979   142.379        23.5        22.7         0.0         0.8    1163     122         2.3  1923  Chuwa                           Kenbuchigawa                  
      6215    43.979   142.754        93.6        93.8        -0.0        -0.2    1186     122         0.9  1983  Ponteshio                       Teshiogawa                    
      6216    43.971   142.388         2.6         2.6         0.0         0.1    1164     123         0.9  1951  Minamioka                       Kenbuchigawa                  
      6217    43.954   142.629        45.6        43.7         0.0         1.9    1178     124         9.5  1986  Aibetsu                         Karippugawa                   
      6218    43.937   143.338       280.0       282.4        -0.0        -2.4    1221     125         0.8  1980  Muri                            Murigawa                      
      6219    43.921   142.079       840.3       841.6        -0.0        -1.4    1145     125        21.5  1953  Takadomari                      Uryugawa                      
      6220    43.912   141.929        67.3        65.0         0.0         2.4    1136     126        34.8  1991  Numata                          Horonitachibetsugawa          
      6221    43.887   141.938        14.1        14.1         0.0         0.0    1137     127         5.7  1971  Horoshin                        Shisennosawagawa              
      6222    43.871   142.579        19.2        19.3        -0.0        -0.0    1176     128         3.0  1960  Toma                            Tomagawa                      
      6223    43.854   143.754         9.1         9.1        -0.0        -0.0    1245     129         2.8  1987  Tomisato                        Nikorogawa                    
      6224    43.796   142.154        16.2        15.6         0.0         0.6    1150     133         0.9  1956  Kamiyunai                       Tadoshigawa                   
      6225    43.746   141.721        50.9        50.1         0.0         0.7    1124     136         4.4  1966  Etaibetsu                       Etaibetsugawa                 
      6226    43.679   143.038       287.3       285.9         0.0         1.4    1203     140        66.0  1975  Taisetsu                        Ishikarigawa                  
      6227    43.621   141.713         3.6         3.3         0.1         0.3    1123     143         1.3  1923  Wakka                           Makinosawagawa                
      6228    43.612   142.521        59.5        59.1         0.0         0.5    1171     144         4.7  1937  Seidaichosuichi                 Ubakubetsugawa                
      6229    43.612   143.388       118.3       118.2         0.0         0.1    1223     144        39.8  1983  Kanoko                          Tokorogawa                    
      6230    43.587   141.721        17.0        17.3        -0.0        -0.3    1123     145         4.9  1961  Shintotsukawa                   Rukushubetsugawa              
      6231    43.487   142.496        46.7        46.9        -0.0        -0.2    1171     151         4.5  1970  Nisshin                         Pirikafuranuigawa             
      6232    43.487   142.604         3.4         3.3         0.0         0.2    1177     152         6.8  1996  Shirogane                       Oyaunnaigawa                  
      6233    43.487   142.221      1789.1      1786.8         0.0         2.4    1154     151         4.8  1971  Nokanan                         Sorachigawa                   
      6234    43.479   141.596        98.2        89.7         0.1         8.4    1116     152        15.1  1963  Aoyama                          Tobetsugawa                   
      6235    43.446   142.288      1676.7      1676.6         0.0         0.1    1158     153       108.0  1999  Kitasato                        Sorachigawa                   
      6236    43.446   142.229        29.7        29.6         0.0         0.1    1155     154         4.6  1978  Nokanan                         Nokanangawa                   
      6237    43.437   142.888       167.5       167.0         0.0         0.5    1194     154         2.9  1978  Tomura                          Tomuraushigawa                
      6238    43.404   141.729         5.6         5.8        -0.0        -0.2    1124     156         1.0  1926  Sappinai                        Sappinaigawa                  
      6239    43.387   141.646        31.8        31.4         0.0         0.4    1119     157         4.8  1973  Tsukigata                       Subetsugawa                   
      6240    43.371   143.221       387.9       387.4         0.0         0.6    1214     158       193.9  1956  Nukabira                        Otofukegawa                   
      6241    43.346   143.271       407.9       408.6        -0.0        -0.7    1216     160         2.9  1960  Motogoya                        Otofukegawa                   
      6242    43.287   142.096       123.7       122.3         0.0         1.4    1147     164         6.3  1952  Ashibetsu                       Sorachigawa                   
      6243    43.237   142.938       597.8       598.5        -0.0        -0.7    1197     166       112.0  1984  Tokachi                         Tokachigawa                   
      6244    43.237   142.004       151.6       150.8         0.0         0.8    1141     166        92.7  1957  Katsurazawa                     Ikushunbetsugawa              
      6245    43.237   143.479       533.2       532.1         0.0         1.1    1229     166        17.4  1955  Kakkomi                         Biribetsugawa                 
      6246    43.196   142.938       631.9       630.7         0.0         1.3    1197     169         9.0  1943  Iwamatsu                        Tokachigawa                   
      6247    43.171   142.838        77.7        77.9        -0.0        -0.2    1191     170        10.4  1984  Sahoro                          Sahorogawa                    
      6248    43.162   141.938        16.7        15.9         0.1         0.9    1137     171         8.3  1990  Horomui                         Mappugawa                     
      6249    43.146   142.913       785.3       787.9        -0.0        -2.6    1195     171         3.1  1987  Kuttari                         Tokachigawa                   
      6250    43.129   142.446       468.3       466.7         0.0         1.6    1167     173       151.0  1967  Kanayama                        Sorachigawa                   
      6251    43.029   142.104       433.4       432.7         0.0         0.8    1147     179        87.3  1959  Oyubari                         Yubarigawa                    
      6252    43.004   142.021       483.5       483.4         0.0         0.0    1142     180         5.6  1954  Shimizusawa                     Yubarigawa                    
      6253    42.987   141.163       103.1       101.7         0.0         1.3    1090     181        82.3  1989  Jozankei                        Otarunaigawa                  
      6254    42.912   141.154       129.7       132.7        -0.0        -3.0    1089     186        47.1  1972  Hoheikyo                        Toyohiragawa                  
      6255    42.912   141.921       773.2       773.4        -0.0        -0.2    1136     186         6.2  1962  Kawabata                        Yubarigawa                    
      6256    42.887   142.179        68.7        69.4        -0.0        -0.7    1151     187        10.3  1984  Hobetsu                         Hobetsugawa                   
      6257    42.846   141.446       113.1       113.4        -0.0        -0.3    1107     190        15.3  1980  Izarigawa                       Izarigawa                     
      6258    42.796   142.396       561.1       559.0         0.0         2.1    1164     193         5.0  1958  Iwachishi                       Sarugawa                      
      6259    42.796   142.038        53.6        53.0         0.0         0.5    1143     193        10.1  1969  Azuma                           Azumagawa                     
      6260    42.671   142.679        56.0        52.5         0.1         3.5    1181     200         6.7  1963  Okunikappu                      Nikappugawa                   
      6261    42.629   142.146      1222.3      1217.0         0.0         5.2    1149     203        27.1   -99  Nibutani                        Sarugawa                      
      6262    42.604   142.554       196.7       195.5         0.0         1.2    1174     204       145.0  1974  Niikappu                        Niikappugawa                  
      6263    42.571   142.538       216.1       216.1        -0.0        -0.0    1173     206         6.5  1969  Shimonikappu                    Nikappugawa                   
      6264    42.479   142.779        83.4        81.8         0.0         1.7    1187     212         9.6  1987  Higashinosawa                   Koikakushushibicharigawa      
      6265    42.479   140.188        55.9        57.1        -0.0        -1.3    1032     211        18.0  1991  Pirika                          Shiribeshitoshibetsugawa      
      6266    42.462   142.646       284.3       279.0         0.0         5.3    1179     213       229.0  1983  Takami                          Shizunaigawa                  
      6267    42.421   141.079        76.6        72.3         0.1         4.3    1085     215        10.0  1967  Horobetsu                       Horobetsugawa                 
      6268    42.412   142.563       333.5       334.4        -0.0        -0.9    1175     216        29.8  1966  Shizunai                        Shizunaigawa                  
      6269    42.379   142.696        24.5        25.7        -0.0        -1.2    1183     218         8.2  1991  Mitsuishi                       Mitsuishigawa                 
      6270    42.187   142.963        57.1        55.2         0.0         1.8    1198     229         6.2  1974  Samani                          Samanigawa                    
      6271    42.129   143.071       142.8       141.3         0.0         1.5    1205     233        15.4  1954  Horomangawadaisan               Horomangawa                   
      6272    42.104   140.129        24.8        22.5         0.1         2.3    1028     234         0.8  1930  Ainumanai                       Ainumanaigawa                 
      6273    42.062   140.504        50.9        51.3        -0.0        -0.5    1051     237         3.3  1985  Komagatake                      Shimazakigawa                 
      6274    41.871   140.596        56.8        56.4         0.0         0.4    1056     248         3.6  1990  Kamiiso                         Hekirichigawa                 
      6275    41.846   140.913        30.8        30.9        -0.0        -0.2    1076     250         3.8  1975  Yabetsu                         Shiodomari                    
      6277    40.887   140.538        19.2        17.4         0.1         1.8    1053     307         9.7  1975  Odagawa                         Odagawa                       
      6278    40.837   140.513        13.2        12.4         0.1         0.7    1051     310         2.4  1972  Iizume                          Iizumegawa                    
      6279    40.787   141.079       103.4       103.4         0.0         0.0    1085     313        19.6  1968  Tenma                           Tsubokawa                     
      6280    40.762   140.338        25.5        21.8         0.2         3.7    1040     314         1.8  1967  Shinkodoroku                    Yamadagawa                    
      6281    40.721   140.679         5.4         5.2         0.1         0.3    1062     317         7.6  1982  Namioka                         Kareizawagawa                 
      6282    40.696   140.779        66.6        64.0         0.0         2.6    1067     319        12.6  1988  Shimoyu                         Tsutsumigawa                  
      6283    40.596   140.688       229.3       228.5         0.0         0.8    1062     325        53.1  1988  Asaseishigawa                   Asaseishigawa                 
      6284    40.587   140.713        19.2        17.4         0.1         1.8    1063     325         1.2  1933  Oana                            Nishonaigawa                  
      6285    40.537   140.263       172.4       171.2         0.0         1.2    1036     328        39.0  1959  Meya                            Iwakigawa                     
      6286    40.462   140.546        22.7        22.1         0.0         0.6    1053     333        13.5  1984  Hayaseno                        Nijigaigawa                   
      6287    40.412   140.354        49.3        41.8         0.2         7.4    1042     336         6.5  1976  Hayakuchi                       Hayakuchigawa                 
      6288    40.337   140.221       100.8       100.9        -0.0        -0.1    1034     340        42.5  1970  Subari                          Kasugegawa                    
