ID,lat_alloc,lon_alloc,area_alloc,lat_ori,lon_ori,area_ori,Modify,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
6373200,56.679,23.496,1170.078,56.68,23.5,492,,Starini,MAZA JUGLA,LV,2020/1/31,2019/5/15,-999,23
6373201,56.737,26.721,525.288,56.75,26.7,663,,Zaki,LIELA JUGLA,LV,2020/1/31,2019/5/15,-999,2
6373202,57.904,25.271,615.368,57.9,25.29,632,,Kalnagals,MEIRANU KANALS,LV,2020/1/31,2019/5/15,6373219,89
6373210,56.346,27.179,341.165,56.35,27.18,299,,Malta,VECMALTA,LV,2020/1/31,2019/5/15,6373211,-999
6373211,56.537,27.879,649.867,56.53,27.88,782,,Vilani,MALTA,LV,2020/1/31,2019/5/15,6373219,105
6373212,56.429,25.046,287.422,56.43,25.05,545,,Griskani,REZEKNE,LV,2020/1/31,2019/5/15,6373219,138
6373213,56.771,24.046,658.981,56.77,24.05,978,,Litene,PEDEDZE,LV,2020/1/31,2019/5/15,6373219,101
6373214,56.938,26.396,271.198,56.93,26.4,239,,Malpils,MERGUPE,LV,2020/1/31,2019/5/15,6373219,82
6373215,56.546,26.921,755.592,56.53,26.86,268,,Aizkuja,KUJA,LV,2020/1/31,2019/5/15,6373219,91
6373216,56.704,23.779,880.001,56.703,23.782,600,,Apsites,MISA,LV,2020/1/31,2019/5/15,6373201,0
6373217,56.229,27.271,94.188,56.23,27.26,93,,Dorotpolje,BALDA,LV,2020/1/31,2019/5/15,6373218,155.7799988
6373218,56.696,22.163,540.755,56.69,22.26,6510,,Lubana,AIVIEKSTE,LV,2020/1/31,2019/5/15,6373219,88
6373219,56.637,25.938,8671.894,56.49,25.89,8660,LatLon,Aiviekstes Hes,AIVIEKSTE,LV,2020/1/31,2019/5/15,6373307,77
6373220,56.221,25.571,557.116,56.21,25.57,2060,,Sili,DUBNA,LV,2020/1/31,2019/5/15,6373305,90
6373222,56.512,27.438,508.247,56.51,27.43,922,,Viski,DUBNA,LV,2020/1/31,2019/5/15,6373220,99
6373224,56.304,26.438,239.861,56.26,26.41,370,,Sulti,FEIMANKA,LV,2020/1/31,2019/5/15,6373220,-999
6373226,56.354,26.338,615.779,56.34,26.34,455,,Kulenieki,USA,LV,2020/1/31,2019/5/15,6273771,92
6373300,55.862,26.513,64565.102,55.864,26.514,64500,,Daugavpils,DAUGAVA,LV,2020/1/31,2019/10/31,6373304,86
6373304,56.404,24.179,5359.527,56.4,24.18,70500,Area,Jekabpils,DAUGAVA,LV,2020/1/31,2019/5/15,6373305,75
6373305,57.179,21.671,10991.89,57.09,21.58,81300,Area,Plavinu Hes,DAUGAVA,LV,2020/1/31,2019/5/15,6373306,-999
6373306,56.737,24.713,82024.852,57.85,25.05,82100,LatLon,Keguma Hes,DAUGAVA,LV,2020/1/31,2019/5/15,6373307,-999
6373307,56.912,24.163,84292.82,56.916,24.157,84000,,Rigas Hes,DAUGAVA,LV,2020/1/31,2019/5/15,-999,-999
6373400,56.438,24.054,9406.67,56.437,24.052,9390,,Mezotne,LIELUPE,LV,2020/1/31,2019/10/31,-999,-999
6373430,56.362,21.213,1645.172,56.36,21.21,5320,,Bauska,MUSA,LV,2020/1/31,2019/5/15,6373400,11
6373440,57.546,21.863,1915.207,57.54,21.86,2690,,Tabokine,MEMELE,LV,2020/1/31,2019/5/15,6373400,-999
6373442,57.071,22.296,1719.692,57.06,22.29,517,,Elksi,DIENVIDSUSEJA,LV,2020/1/31,2019/5/15,6373440,82
6373444,56.379,24.088,349.413,56.38,24.08,313,,Sudrabkalni,VIESITE,LV,2020/1/31,2019/5/15,6373440,55
6373450,56.404,26.429,436.698,56.4,26.43,632,,Uzini,SVETE,LV,2020/1/31,2019/5/15,-999,9
6373452,57.762,24.479,158.038,57.84,24.49,291,,Brakski,AUCE,LV,2020/1/31,2019/5/15,-999,-999
6373454,56.571,23.629,681.134,56.58,23.56,904,,Balozi,BERZE,LV,2020/1/31,2019/5/15,-999,-0.319999993
6373456,56.479,23.563,654.142,56.48,23.56,330,,Bramberge,TERVETE,LV,2020/1/31,2019/5/15,-999,6
6373460,56.446,24.496,496.225,56.41,24.51,519,,Dupsi,IECAVA,LV,2020/1/31,2019/5/15,-999,20
6373462,56.646,23.621,402.164,56.66,23.55,618,,Lielveisi,MISA,LV,2020/1/31,2019/5/15,-999,4
6373470,57.804,25.421,142.905,57.78,25.42,330,,Tiltsargi,ISLICE,LV,2020/1/31,2019/5/15,-999,19
6373750,56.079,26.729,965.36,56.08,26.72,1660,,Lielpeci,OGRE,LV,2020/1/31,2019/5/15,6373307,30
6373910,56.646,25.929,299.632,56.63,25.93,329,,Cirava,DURBE,LV,2020/1/31,2019/5/15,-999,13
6373911,57.462,26.354,294.138,57.45,26.35,513,,Ance,STENDE,LV,2020/1/31,2019/5/15,6373912,7
6373912,56.971,24.488,632.824,56.97,24.48,1920,,Vicaki,IRBE,LV,2020/1/31,2019/5/15,-999,4
6373921,56.729,21.371,333.235,56.73,21.38,196,,Pieviki,RIVA,LV,2020/1/31,2019/5/15,-999,15
6373922,56.837,21.396,519.692,56.9,21.4,398,,Rojupe,ROJA,LV,2020/1/31,2019/5/15,-999,8
6373931,57.454,26.346,2310.976,57.46,26.32,2260,,Mazsalaca,SALACA,LV,2020/1/31,2019/5/15,6373932,38
6373932,57.287,26.571,1394.943,57.27,26.58,3220,,Lagaste,SALACA,LV,2020/1/31,2019/5/15,-999,17
6373933,57.487,22.721,430.604,57.49,22.72,636,,Vilnisi,RUJA,LV,2020/1/31,2019/5/15,6373931,42
6373934,57.221,25.229,299.024,57.22,25.23,431,,Oleri,SEDA,LV,2020/1/31,2019/5/15,6373931,40
6373941,57.237,26.363,722.475,57.24,26.36,440,,Teranda,UZAVA,LV,2020/1/31,2019/5/15,-999,6
6390050,40.871,43.738,929.989,40.867,43.717,839,,Kaps,AKHURYAN,AM,2020/1/31,2018/5/25,6590700,1665
6390300,40.812,44.538,1081.925,40.807,44.538,1070,,Gugark (Megrut),DEBEDA,AM,2020/1/31,2018/5/25,6590700,1260
6401070,64.713,-21.596,492.209,64.711,-21.603,507,,Stekkur,NORDHURA,IS,2020/1/31,2019/12/16,6401080,18
6401080,64.696,-21.412,1714.171,64.692,-21.41,1574,,Kljafoss,HVITA,IS,2020/1/31,2019/12/16,-999,18
6401090,63.938,-21.004,5738.658,63.938,-21.007,5662,,Selfoss,OLFUSA,IS,2020/1/31,2019/12/16,-999,12
