ID,lat_mod,lon_mod,area_mod,rivname,locname
505,38.933,141.153,9.5,磐井川,吸川（外水）
506,39.221,141.131,5500.7,北上川,三照
507,39.895,141.201,591,北上川,寺林
508,38.583,141.479,0,北上川,白浜
509,38.574,141.448,8126,北上川,月浜
510,38.53,141.375,8040,北上川,福地
511,38.515,141.31,8009,北上川,飯野川上流
512,38.603,141.298,7958.6,北上川,柳津
513,38.602,141.291,7958.9,北上川,脇谷上流
514,38.659,141.286,7869.4,北上川,登米
515,38.704,141.288,7862.5,北上川,米谷
516,38.764,141.271,7800,北上川,大泉
517,38.42,141.311,1946,旧北上川,門脇
518,38.491,141.298,1857.5,旧北上川,大森
519,38.47,141.294,1865.7,旧北上川,曽波神
520,38.526,141.228,1846.5,旧北上川,和渕
521,38.604,141.281,4.7,旧北上川,倉埣
522,38.602,141.29,7958.9,旧北上川,脇谷下流
523,38.563,141.228,908.1,迫川,剣先
524,38.539,141.203,576.1,江合川,短台
525,38.546,141.127,471,江合川,涌谷
526,38.565,141.026,-9999,江合川,中北橋
527,38.568,141.013,406.2,江合川,下谷地
528,38.581,140.978,405,江合川,荒雄
529,38.661,140.867,399.8,江合川,岩出山
530,38.571,140.982,0,新江合川,李埣
531,38.594,140.951,404,江合川,桜ノ目
532,38.62,141.293,7902.8,北上川,鴇波
533,39.102,140.871,-9999,胆沢川,下嵐江
534,39.077,140.864,44.1,前川,前川
535,39.171,141.096,216.6,胆沢川,胆沢川橋
536,39.13,141.007,-9999,胆沢川,大歩
537,39.399,140.769,266.7,和賀川,新町
538,39.291,141.071,850,和賀川,広表
539,39.36,141.55,309.6,猿ヶ石川,松崎
540,39.32,141.461,505,猿ヶ石川,二日町
541,39.298,141.381,103.4,小友川,小友川
542,39.361,141.283,869.5,猿ヶ石川,谷内
543,39.872,141.178,618,北上川,芋田橋
544,39.874,141.161,411,松川,古川橋
545,39.834,141.161,1078.5,北上川,船田橋
546,39.69,140.945,143.3,雫石川,春木場
547,39.691,140.958,181.5,葛根田川,岩持
548,39.654,140.953,120.4,南川,矢川
550,39.117,140.919,185,胆沢川,胆沢
551,39.302,140.885,583,和賀川,湯田
552,39.691,141.026,635,雫石川,御所
553,39.677,141.026,619.6,雫石川,繋大橋
554,39.753,141.148,1196,北上川,四十四田
555,39.345,141.32,740,猿ヶ石川,田瀬
556,39.301,140.883,583,和賀川,大荒沢
557,39.115,140.902,-9999,胆沢川,石淵
558,38.799,140.661,164.7,江合川,轟
559,38.75,140.723,287.04,江合川,末沢
560,38.738,140.697,58.24,江合川,大谷川
561,40.534,141.491,2033,馬淵川,新大橋
562,40.517,141.47,2024,馬淵川,大橋
563,40.486,141.429,1871,馬淵川,櫛引橋
564,40.444,141.348,1751,馬淵川,剣吉
565,40.26,141.291,964,馬淵川,石切所
566,40.13,141.365,424,馬淵川,冬部
567,40.238,141.233,402,安比川,似鳥
568,40.504,141.434,125,馬淵川,尻内
569,40.309,141.131,109.2,熊原川,飯豊
570,40.144,141.316,112.8,平糠川,駒木
571,40.502,141.445,2012,馬淵川,尻内橋
572,40.754,141.233,44.5,赤川,赤川
573,40.738,141.244,344.2,高瀬川,上野
574,40.714,141.279,92.4,砂土路川,砂土路川
575,40.7,141.32,13.9,中津川,中津川
576,40.693,141.325,39.6,姉沼川,姉沼川
577,40.744,141.359,805.4,高瀬川,頭無
578,40.742,141.277,805.4,高瀬川,沼崎
579,40.778,141.258,65.7,土場川,土場川
580,40.758,141.326,805.4,高瀬川,鶴ヶ崎
581,40.818,141.332,805.4,高瀬川,小川原湖
582,40.812,141.297,805.4,高瀬川,浜台
583,40.841,141.372,805.4,高瀬川,高瀬橋
584,40.846,141.379,805.4,高瀬川,高瀬川
585,40.886,141.39,866.9,高瀬川,河口
586,41.036,140.331,2544,岩木川,十三
