GRDC Station Number,Latitude,Longitude,Catchment Area,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1160600,-33.18527985,27.39055634,2530,Farm 7,KEISKAMMARIVIER,ZA,2020/1/31,2019/2/12,-999,7
1160601,-33.01166534,26.95416641,1429,Kamas Loc. (27672413),KEISKAMMARIVIER,ZA,2020/1/31,2018/5/22,1160600,283
1160602,-32.75166702,27.09027863,482,Zanyokwe (27672405),KEISKAMMARIVIER,ZA,2020/1/31,2018/5/22,1160601,521
1160605,-32.75166702,27.09777832,100,Zanyokwe Loc. 3 (27672406),RABULA,ZA,2020/1/31,2018/5/22,1160601,526
1160607,-32.63750076,27.19249916,33,Mtwaku Loc. 13 (27672407),MTWAKU,ZA,2020/1/31,2018/5/22,1160601,691
1160610,-32.85833359,27.37055588,121,Msenge Ridge (27672206),MGQAKWEBE,ZA,2020/1/31,2019/2/12,1160540,397
1160611,-32.91527939,27.38611031,103,Sheshegu (27672209),MGQAKWEBE,ZA,2020/1/31,2019/2/12,1160610,372
1160612,-32.78694534,27.26277733,15,Jeftas Loc 29 (27672212),MGQAKWEBE,ZA,2020/1/31,2018/5/22,1160611,551
1160615,-32.76777649,27.37277794,62,Braunschweig (27672208),CWENGCWE,ZA,2020/1/31,2019/2/12,1160640,454
1160620,-32.75944519,26.85472107,238,Goumahashe Loc. (27672401),TYUME,ZA,2020/1/31,2018/5/22,1160600,521
1160621,-32.63999939,26.93583298,71,Kwa Khayaletu (27672414),TYUME,ZA,2020/1/31,2019/2/12,1160620,702
1160625,-32.70194244,26.57583237,228,Blinkwater (27673117),BLINKWATERRIVIER,ZA,2020/1/31,2019/2/12,1160620,477
1160630,-32.71333313,26.29583359,1245,Adelaide (27673102),KOONAPRIVIER,ZA,2020/1/31,2019/2/12,1160580,572
1160631,-32.4991684,26.36499977,496,Schurftekop (27673116),KOONAPRIVIER,ZA,2020/1/31,2018/5/22,1160630,852
