ID,lat_mod,lon_mod,area_mod,rivname,locname
485,38.899,141.263,7516.684,北上川,諏訪前
486,38.842,141.263,7650.763,北上川,七日町
487,39.926,141.228,320.996,丹藤川,滝
488,39.715,141.178,195.352,中津川,山岸
489,39.698,141.069,665.531,雫石川,滝太橋
490,39.705,141.122,767.365,雫石川,太田橋
491,39.394,141.151,958.311,猿ヶ石川,安野
492,39.378,141.108,158.923,豊沢川,不動橋
493,39.205,141.159,100.593,広瀬川,岩瀬橋
494,39.185,141.183,100.538,人首川,岩谷堂
495,39.016,141.091,150.957,衣川,川西橋
496,38.941,141.053,168.582,磐井川,五串
497,38.928,141.128,268.342,磐井川,釣山
498,38.928,141.255,374.122,砂鉄川,妻神
499,38.897,141.29,87.125,千厩川,矢作
500,38.86,141.32,65.1,黄海川,西口
501,38.976,141.24,346.849,砂鉄川,十二木橋
502,38.991,141.126,6699.51,北上川,高館橋
503,39.278,141.123,2.011,北上川,大曲川（内水）
504,39.278,141.123,2.011,北上川,大曲川（外水）
505,38.931,141.152,18.448,磐井川,吸川（外水）
506,39.22,141.13,5517.817,北上川,三照
507,39.898,141.198,589.657,北上川,寺林
508,38.585,141.476,1.465,北上川,白浜
509,38.572,141.448,8273.654,北上川,月浜
510,38.531,141.373,8179.078,北上川,福地
511,38.515,141.308,8166.117,北上川,飯野川上流
512,38.602,141.298,8088.026,北上川,柳津
513,38.602,141.297,8087.909,北上川,脇谷上流
514,38.658,141.287,8054.609,北上川,登米
515,38.703,141.287,8037.382,北上川,米谷
516,38.765,141.273,7886.792,北上川,大泉
517,38.42,141.312,1939.977,旧北上川,門脇
518,38.491,141.298,1877.932,旧北上川,大森
519,38.47,141.297,1885.343,旧北上川,曽波神
520,38.526,141.228,1803.597,旧北上川,和渕
521,38.605,141.281,2.485,旧北上川,倉埣
522,38.602,141.297,8087.909,旧北上川,脇谷下流
523,38.562,141.228,927.54,迫川,剣先
524,38.54,141.203,584.775,江合川,短台
525,38.547,141.127,511.826,江合川,涌谷
526,38.565,141.027,397.576,江合川,中北橋
527,38.567,141.013,397.32,江合川,下谷地
528,38.581,140.978,396.447,江合川,荒雄
529,38.662,140.867,352.498,江合川,岩出山
530,38.572,140.98,1.088,新江合川,李埣
531,38.595,140.951,395.457,江合川,桜ノ目
532,38.622,141.294,8084.759,北上川,鴇波
533,39.102,140.87,76.632,胆沢川,下嵐江
534,39.077,140.865,44.332,前川,前川
535,39.17,141.097,221.583,胆沢川,胆沢川橋
536,39.13,141.008,204.31,胆沢川,大歩
537,39.398,140.769,266.666,和賀川,新町
538,39.29,141.072,882.165,和賀川,広表
539,39.36,141.549,321.407,猿ヶ石川,松崎
540,39.32,141.46,532.085,猿ヶ石川,二日町
541,39.298,141.381,103.194,小友川,小友川
542,39.362,141.283,868.537,猿ヶ石川,谷内
543,39.872,141.178,617.493,北上川,芋田橋
544,39.874,141.16,411.715,松川,古川橋
545,39.834,141.162,1074.038,北上川,船田橋
546,39.691,140.945,139.893,雫石川,春木場
547,39.688,140.956,166.75,葛根田川,岩持
548,39.655,140.952,120.496,南川,矢川
550,39.117,140.917,184.677,胆沢川,胆沢
551,39.302,140.885,577.036,和賀川,湯田
552,39.69,141.028,634.352,雫石川,御所
553,39.681,141.023,629.034,雫石川,繋大橋
554,39.753,141.148,1185.376,北上川,四十四田
555,39.344,141.32,731.876,猿ヶ石川,田瀬
556,39.299,140.883,576.325,和賀川,大荒沢
557,39.115,140.903,149.226,胆沢川,石淵
558,38.798,140.66,162.881,江合川,轟
559,38.749,140.723,278.217,江合川,末沢
560,38.737,140.697,58.151,江合川,大谷川
561,40.534,141.491,2037.09,馬淵川,新大橋
562,40.516,141.47,2005.078,馬淵川,大橋
563,40.485,141.428,1868.992,馬淵川,櫛引橋
564,40.444,141.348,1793.449,馬淵川,剣吉
565,40.259,141.291,1142.13,馬淵川,石切所
