ID,lat_mod,lon_mod,area_mod,lat_ori,lon_ori,area_ori,Memo,Station Name,River Name,Country,File Date,Last Update,Downstream GRDC Station,Altitude
1160328,-33.983,19.329,15,-33.983,19.329,15, ,Waggensbooms Kloof (27694410),WATERKLOOF,ZA,2020/1/31,2019/2/12,-999,405
1160330,-32.602,18.749,660,-32.602,18.749,660, ,Tweekuilen (27711501),KRUISRIVIER,ZA,2020/1/31,2018/5/22,1160320,51
1160331,-33.965,19.291,56,-33.965,19.291,56, ,Twist Niet (27694406),ELANDSRIVIER,ZA,2020/1/31,2018/5/22,1160302,389
1160332,-33.939,19.171,46,-33.939,19.171,46, ,Purgatory Uitspan (27694407),DUTOITSRIVIER,ZA,2020/1/31,2018/5/22,1160302,389
1160340,-33.562,19.51,699,-33.562,19.51,699, ,New Glen Heatlie (27694801),HEXRIVIER,ZA,2020/1/31,2018/5/22,1160302,302
1160343,-33.791,20.124,593,-33.791,20.124,593, ,Montague (27694601),KINGNARIVIER,ZA,2020/1/31,2018/5/22,1160302,214
1160345,-33.709,20.058,76,-33.709,20.058,76, ,Keisiesdoorns (27694605),KEISIERIVIER,ZA,2020/1/31,2019/2/12,1160302,324
1160346,-33.696,19.928,14,-33.696,19.928,14, ,Harmonie (27694604),KEISIERIVIER,ZA,2020/1/31,2018/5/22,1160345,544
1160347,-33.596,19.762,106,-33.596,19.762,106, ,Dwars In Die Weg (27694708),KOORIVIER,ZA,2020/1/31,2018/5/22,1160340,703
1160348,-33.639,19.814,48,-33.639,19.814,48, ,Die Koo (27694707),KOORIVIER,ZA,2020/1/31,2018/5/22,1160347,829
1160350,-33.572,20.702,2900,-33.572,20.702,2900, ,Zandfontein,TOUWSRIVIER,ZA,2020/1/31,2018/5/22,-999,459
1160351,-33.945,22.614,79,-33.945,22.614,79, ,Farm 162 (27692705),TOUWSRIVIER,ZA,2020/1/31,2019/2/12,1160350,136
1160361,-33.288,19.727,30,-33.288,19.727,30, ,Verlorenvalley (27693216),SMALBLAARRIVIER,ZA,2020/1/31,2019/2/12,1160350,889
1160365,-33.489,21.489,268,-33.489,21.489,268, ,Zoar (27693405),HUISRIVIER,ZA,2020/1/31,2019/2/12,1160350,471
1160367,-33.489,21.489,25,-33.489,21.489,25, ,Opzoek (27693406),BOPLAASRIVIER,ZA,2020/1/31,2019/2/12,1160365,470
1160368,-33.492,21.514,25,-33.492,21.514,25, ,Opzoek (27693407),JOUBERTRIVIER,ZA,2020/1/31,2019/2/12,1160365,469
1160370,-34.031,21.586,95,-34.031,21.586,95, ,Weyers River (27693103),WEYERSRIVIER,ZA,2020/1/31,2019/2/12,-999,119
1160375,-33.987,21.76,101,-33.987,21.76,101, ,Langfontein (27693104),LANGTOURIVIER,ZA,2020/1/31,2018/5/22,-999,102
1160378,-33.31,21.634,17076,-33.31,21.634,17076, ,Spek Boom Berg,GAMKARIVIER,ZA,2020/1/31,2019/2/12,-999,-999
1160380,-33.477,23.029,4230,-33.477,23.029,4230, ,Pardekloof (27693304),OLIFANTSRIVIER,ZA,2020/1/31,2018/5/22,-999,571
1160385,-33.545,22.974,33,-33.545,22.974,33, ,Wilgehoute River (27693316),WILGERIVIER,ZA,2020/1/31,2019/2/12,-999,652
1160390,-33.476,22.548,692,-33.476,22.548,692, ,De Rust (27693312),GROOTRIVIER,ZA,2020/1/31,2018/5/22,-999,480
1160393,-33.679,22.14,351,-33.679,22.14,351, ,Paardendrift (27693317),KANDELAARSRIVIER,ZA,2020/1/31,2019/2/12,-999,278
1160395,-33.368,22.179,29,-33.368,22.179,29, ,Groenefontein (27693313),PERDEPOORTRIVIER,ZA,2020/1/31,2019/2/12,-999,698
1160396,-33.467,22.001,137,-33.467,22.001,137, ,Koetzers Kraal (27693318),WYNANADSRIVIER,ZA,2020/1/31,2019/2/12,-999,460
1160398,-33.461,21.96,35,-33.461,21.96,35, ,Vogelfontein (27693320),MEULRIVIER,ZA,2020/1/31,2019/2/12,1160396,583
1160400,-34.007,22.35,145,-34.007,22.35,145, ,Knoetze Kama (27692703),MAALGATERIVIER,ZA,2020/1/31,2019/2/12,-999,117
1160405,-33.951,22.422,34,-33.951,22.422,34, ,Blanco (27692704),MALGASRIVIER,ZA,2020/1/31,2019/2/12,-999,200
1160415,-34.103,22.071,144,-34.103,22.071,144, ,Hartenbosch (27692901),HARTENBOSRIVIER,ZA,2020/1/31,2018/5/22,-999,11
1160420,-33.971,22.547,47,-33.971,22.547,47, ,Upper Barbierskraal (27692701),KAAIMANSRIVIER,ZA,2020/1/31,2019/2/12,-999,75
1160425,-33.912,22.708,72,-33.912,22.708,72, ,Woodville Forest Res. (27692603),DIEPRIVIER,ZA,2020/1/31,2019/2/12,-999,218
1160427,-33.881,22.838,23,-33.881,22.838,23, ,Karatara Forest Res. (27692602),KARATARARIVIER,ZA,2020/1/31,2019/2/12,-999,256
1160430,-33.891,23.029,135,-33.891,23.029,135, ,Milwood Forest Res. (27692502),KNYSNARIVIER,ZA,2020/1/31,2019/2/12,-999,194
1160435,-33.991,23.042,94,-33.991,23.042,94, ,Gouna Commonage Con. (27692501),GOUNARIVIER,ZA,2020/1/31,2018/5/22,-999,61
1160440,-33.938,23.367,764,-33.938,23.367,764, ,Newlands (27692402),KEURBOOMSRIVIER,ZA,2020/1/31,2018/5/22,-999,15
1160441,-33.803,23.135,162,-33.803,23.135,162, ,Mkama (27692401),KEURBOOMSRIVIER,ZA,2020/1/31,2019/2/12,1160440,320
1160450,-33.738,23.304,53,-33.738,23.304,53, ,Welgelegen (27691302),JORDAANSRIVIER,ZA,2020/1/31,2019/2/12,-999,780
1160455,-33.956,23.638,56,-33.956,23.638,56, ,Lotterings For. Res. (27692301),BLOUKRANSRIVIER,ZA,2020/1/31,2019/2/12,-999,36
1160457,-33.866,23.836,21,-33.866,23.836,21, ,Diepkloof (27691301),WABOOMSRIVIER,ZA,2020/1/31,2019/2/12,-999,578
1160460,-33.731,24.618,29571,-33.731,24.618,29571, ,Grootrivierspoort (27691206),GROOTRIVIER,ZA,2020/1/31,2019/2/12,-999,133
1160470,-33.204,24.234,1296,-33.204,24.234,1296, ,Campherspoort (27691501),HEUNINGKLIPRIVIER,ZA,2020/1/31,2019/2/12,1160460,500
1160480,-32.238,23.051,3943,-32.238,23.051,3943, ,Kamferskraal (27691901),SOUTRIVIER,ZA,2020/1/31,2018/5/22,-999,944
1160481,-32.069,23.007,3672,-32.069,23.007,3672, ,Klipkraal (27691902),SOUTRIVIER,ZA,2020/1/31,2018/5/22,1160480,1003
1160487,-33.797,25.309,394,-33.797,25.309,394, ,Wintcanton (27683204),ELANDSRIVIER,ZA,2020/1/31,2019/2/12,-999,83
1160490,-33,25.164,1742,-33,25.164,1742, ,Riet Vley (27682302),VOELRIVIER,ZA,2020/1/31,2018/5/22,-999,312
1160495,-33.107,25.228,542,-33.107,25.228,542, ,Volkers River (27682209),VOLKERSRIVIER,ZA,2020/1/31,2018/5/22,-999,264
1160500,-33.329,26.077,1479,-33.329,26.077,1479, ,Donker Hoek Alicedale,BOESMANSRIVIER,ZA,2020/1/31,2019/2/12,-999,276
1160510,-33.098,26.445,23067,-33.098,26.445,23067, ,Brandt Legte Piggot'S Bridge,GREAT FISH RIVER,ZA,2020/1/31,2019/2/12,1160580,300
1160511,-31.903,25.482,9545,-31.903,25.482,9545, ,Katkop (27673901),GREAT FISH RIVER,ZA,2020/1/31,2018/5/22,1160510,975
1160512,-31.904,25.431,1717,-31.904,25.431,1717, ,Zoutpansdrift (27673802),GREAT FISH RIVER,ZA,2020/1/31,2019/2/12,1160511,980
1160520,-31.57,25.544,1565,-31.57,25.544,1565, ,Jan Blaauws Kop (27673912),TEEBUSRIVIER,ZA,2020/1/31,2019/2/12,1160511,1120
1160525,-32.386,25.521,878,-32.386,25.521,878, ,Coutzenburg (27673704),PAULSRIVIER,ZA,2020/1/31,2019/2/12,1160510,1337
1160530,-32.606,25.884,806,-32.606,25.884,806, ,Botmansgat (27673403),BAVIAANSRIVIER,ZA,2020/1/31,2019/2/12,1160510,630
1160535,-31.968,26.001,1308,-31.968,26.001,1308, ,Roberts Kraal (27673603),VLEKPOORTRIVIER,ZA,2020/1/31,2018/5/22,1160510,1111
1160540,-33.355,26.861,47,-33.355,26.861,47, ,Kap River Mountains (27673113),KAPRIVIER,ZA,2020/1/31,2018/5/22,-999,267
1160545,-33.507,26.744,575,-33.507,26.744,575, ,Bathurst (27681101),KOWIE RIVER,ZA,2020/1/31,2019/2/12,-999,39
1160550,-32.181,26.821,462,-32.181,26.821,462, ,Whittlesea,OSKRAALRIVIER,ZA,2020/1/31,2018/5/22,-999,1055
1160580,-33.238,26.995,29745,-33.238,26.995,29745, ,Matolema'S Location Outspan,GREAT FISH RIVER,ZA,2020/1/31,2019/2/12,-999,38
1160600,-33.185,27.391,2530,-33.185,27.391,2530, ,Farm 7,KEISKAMMARIVIER,ZA,2020/1/31,2019/2/12,-999,7
1160601,-33.012,26.954,1429,-33.012,26.954,1429, ,Kamas Loc. (27672413),KEISKAMMARIVIER,ZA,2020/1/31,2018/5/22,1160600,283
1160602,-32.752,27.09,482,-32.752,27.09,482, ,Zanyokwe (27672405),KEISKAMMARIVIER,ZA,2020/1/31,2018/5/22,1160601,521
